, ID,Q_cms
1982-08-01,08HA011,5.57
1982-09-01,08HA011,6.12
1982-10-01,08HA011,29.8
1982-11-01,08HA011,67.3
1982-12-01,08HA011,123.0
1983-01-01,08HA011,129.0
1983-02-01,08HA011,177.0
1983-03-01,08HA011,115.0
1983-04-01,08HA011,41.3
1983-05-01,08HA011,14.2
1983-06-01,08HA011,7.37
1983-07-01,08HA011,23.7
1983-08-01,08HA011,7.27
1983-09-01,08HA011,11.5
1983-10-01,08HA011,9.93
1983-11-01,08HA011,142.0
1983-12-01,08HA011,65.9
1984-01-01,08HA011,108.0
1984-02-01,08HA011,91.7
1984-03-01,08HA011,84.7
1984-04-01,08HA011,64.7
1984-05-01,08HA011,55.7
1984-06-01,08HA011,24.7
1984-07-01,08HA011,10.0
1984-08-01,08HA011,5.28
1984-09-01,08HA011,9.84
1984-10-01,08HA011,55.7
1984-11-01,08HA011,110.0
1984-12-01,08HA011,79.0
1985-01-01,08HA011,32.9
1985-02-01,08HA011,31.8
1985-03-01,08HA011,30.8
1985-04-01,08HA011,52.6
1985-05-01,08HA011,36.0
1985-06-01,08HA011,8.56
1985-07-01,08HA011,5.53
1985-08-01,08HA011,3.88
1985-09-01,08HA011,5.94
1985-10-01,08HA011,28.9
1985-11-01,08HA011,58.8
1985-12-01,08HA011,38.3
1986-01-01,08HA011,153.0
1986-02-01,08HA011,107.0
1986-03-01,08HA011,103.0
1986-04-01,08HA011,50.5
1986-05-01,08HA011,45.3
1986-06-01,08HA011,16.5
1986-07-01,08HA011,8.37
1986-08-01,08HA011,5.33
1986-09-01,08HA011,5.8
1986-10-01,08HA011,5.2
1986-11-01,08HA011,42.7
1986-12-01,08HA011,93.8
1987-01-01,08HA011,135.0
1987-02-01,08HA011,109.0
1987-03-01,08HA011,100.0
1987-04-01,08HA011,43.6
1987-05-01,08HA011,24.2
1987-06-01,08HA011,18.9
1987-07-01,08HA011,7.7
1987-08-01,08HA011,4.95
1987-09-01,08HA011,4.84
1987-10-01,08HA011,4.44
1987-11-01,08HA011,16.7
1987-12-01,08HA011,101.0
1988-01-01,08HA011,63.2
1988-02-01,08HA011,68.2
1988-03-01,08HA011,64.6
1988-04-01,08HA011,81.5
1988-05-01,08HA011,39.7
1988-06-01,08HA011,27.2
1988-07-01,08HA011,5.59
1988-08-01,08HA011,4.83
1988-09-01,08HA011,7.3
1988-10-01,08HA011,11.2
1988-11-01,08HA011,99.4
1988-12-01,08HA011,83.2
1989-01-01,08HA011,83.8
1989-02-01,08HA011,56.2
1989-03-01,08HA011,64.1
1989-04-01,08HA011,74.2
1989-05-01,08HA011,26.6
1989-06-01,08HA011,6.35
1989-07-01,08HA011,5.97
1989-08-01,08HA011,5.49
1989-09-01,08HA011,5.73
1989-10-01,08HA011,12.2
1989-11-01,08HA011,60.3
1989-12-01,08HA011,82.3
1990-01-01,08HA011,83.3
1990-02-01,08HA011,105.0
1990-03-01,08HA011,67.5
1990-04-01,08HA011,45.3
1990-05-01,08HA011,16.7
1990-06-01,08HA011,30.3
1990-07-01,08HA011,6.48
1990-08-01,08HA011,5.39
1990-09-01,08HA011,7.22
1990-10-01,08HA011,28.6
1990-11-01,08HA011,173.0
1990-12-01,08HA011,152.0
1991-01-01,08HA011,82.5
1991-02-01,08HA011,146.0
1991-03-01,08HA011,48.2
1991-04-01,08HA011,39.1
1991-05-01,08HA011,17.5
1991-06-01,08HA011,7.27
1991-07-01,08HA011,5.33
1991-08-01,08HA011,9.72
1991-09-01,08HA011,31.9
1991-10-01,08HA011,14.2
1991-11-01,08HA011,61.6
1991-12-01,08HA011,96.1
1992-01-01,08HA011,139.0
1992-02-01,08HA011,156.0
1992-03-01,08HA011,49.8
1992-04-01,08HA011,17.8
1992-05-01,08HA011,15.9
1992-06-01,08HA011,7.19
1992-07-01,08HA011,7.0
1992-08-01,08HA011,4.32
1992-09-01,08HA011,5.53
1992-10-01,08HA011,13.8
1992-11-01,08HA011,52.6
1992-12-01,08HA011,48.8
1993-01-01,08HA011,39.1
1993-02-01,08HA011,48.5
1993-03-01,08HA011,58.1
1993-04-01,08HA011,57.7
1993-05-01,08HA011,43.7
1993-06-01,08HA011,18.9
1993-07-01,08HA011,7.33
1993-08-01,08HA011,5.47
1993-09-01,08HA011,6.42
1993-10-01,08HA011,7.04
1993-11-01,08HA011,11.7
1993-12-01,08HA011,97.9
1994-01-01,08HA011,87.3
1994-02-01,08HA011,77.4
1994-03-01,08HA011,136.0
1994-04-01,08HA011,49.7
1994-05-01,08HA011,16.1
1994-06-01,08HA011,11.0
1994-07-01,08HA011,6.87
1994-08-01,08HA011,5.41
1994-09-01,08HA011,5.33
1994-10-01,08HA011,9.69
1994-11-01,08HA011,48.8
1994-12-01,08HA011,119.0
1995-01-01,08HA011,128.0
1995-02-01,08HA011,157.0
1995-03-01,08HA011,118.0
1995-04-01,08HA011,43.4
